refYear,refMonth,reporterISO,netWgt,primaryValue,unitvalue,wtqty
2023,1,ARG,1515993282.53599,1012395719.0264,0.667810161620798,159.215747131101
2023,2,ARG,3503981340.02036,2150760688.03151,0.613804834936426,360.583371622423
2023,3,ARG,3172557178.85062,1841480521.19693,0.580440451467003,322.203998273464
2023,4,ARG,1508452358.57944,840830761.283419,0.557412871875685,151.715408363715
2023,5,ARG,531999999.999999,290432631.999999,0.545926,53.2161
2023,6,ARG,181000000.0,98080280.0000004,0.54188,18.0601999999999
2023,7,ARG,87532999.6997776,47473039.2193727,0.542344480164014,8.73124257485367
2023,8,ARG,79921060.5170891,43478364.5461109,0.54401636145474,7.97892629231445
2023,9,ARG,200000000.0,108702199.999999,0.543510999999999,19.9893
2023,10,ARG,600000000.0,321891000.0,0.536485,60.0013
2023,11,ARG,93121400.0000002,48270874.5110001,0.518365,9.31214
2023,12,ARG,15612191.0993437,7851625.89118863,0.502916332577984,1.56027022220956
2024,1,ARG,6873785.27515069,3374784.2288212,0.490964453169831,0.686297075137659
2024,2,ARG,8198832.89787444,3940208.89175099,0.480581680445334,0.817815763341856
2024,3,ARG,22888459.6991667,10758562.4542694,0.470043095764154,2.28181424367613
2024,4,ARG,164999999.999999,75156509.9999998,0.455494,16.4512
2024,5,ARG,1389999999.99999,612257469.999999,0.440473,138.759999999999
2024,6,ARG,1349999999.99999,589512599.999997,0.436676,135.001999999999
2024,7,ARG,335000000.0,142351215.0,0.424929,33.4743999999999
2024,8,ARG,416000000.0,165192352.0,0.397097,41.6378
2024,9,ARG,266000000.0,109682440.0,0.41234,26.5545
2024,10,ARG,178231732.712295,76603962.7998131,0.429799798465005,17.7461283781098
2024,11,ARG,169847785.288737,74280441.3794021,0.437335354435895,16.8895403214152
2024,12,ARG,210165483.302769,91774599.6752133,0.436677794245598,20.8953087406998
2025,1,ARG,310408737.026611,133506692.107957,0.430099659522506,30.8821393458723
2025,2,ARG,493038737.821136,207017362.63385,0.419880522063464,49.1105050856619
2025,3,ARG,732840161.430206,300098367.328481,0.409500438325884,73.0908723697419
2025,4,ARG,1011066856.85533,403341697.870849,0.398926831728358,100.979475859918
2025,5,ARG,1119999999.99999,438795839.999999,0.391782,111.971999999999
2025,6,ARG,909000000.000001,354424554.0,0.389906,90.9143999999999
2025,7,ARG,498621818.038706,197273317.619805,0.395637155220696,49.8450342393753
2025,8,ARG,160965078.628628,66265125.1679437,0.411673921651216,16.0629456089556
2025,9,ARG,27995186.7975688,12327552.4521728,0.44034542585168,2.78450811225542
2025,10,ARG,2599228.05560953,1253773.14021549,0.482363653127574,0.257254708393265
