Month,pred,lower_50,upper_50,lower_80,upper_80,lower_95,upper_95
2026-09-01,319137.1854278626,292991.14252732095,347616.45776824385,271295.57236323267,375415.4269294702,248945.27563788323,409120.20869585517
2026-10-01,333617.7622599373,305482.60452734097,364344.1873475533,282194.7169123706,394411.392648042,258263.88048068716,430957.7130498164
2026-11-01,318144.970833972,290573.9020446725,348332.1170783879,267808.13565172924,377943.04575786076,244470.43868355293,414022.3374735505
2026-12-01,312975.9099874374,285161.89921140304,343502.8329638349,262248.35129951657,373515.8667235636,238813.1761938521,410169.663975962
2027-01-01,310532.0775732625,282253.2195591973,341644.18514893966,259010.16164338778,372302.65635189397,235292.49404945716,409831.0555614139
2027-02-01,289072.3738591034,262137.6687603514,318774.6260341209,240048.31806659556,348108.4058475044,217557.70783613148,384095.04383764864
2027-03-01,330364.109896051,298909.1078695574,365129.20561469963,273167.7667042817,399536.32313273713,247014.8278028427,441837.6260170161
2027-04-01,317066.7305491006,286241.6796360111,351211.29721196793,261069.09492389936,385075.49754366936,235547.95474215673,426797.6418268751
2027-05-01,327692.23640539846,295082.22876492457,363906.02799030946,268516.419453541,399909.25701640727,241647.88526969939,444374.6804592309
2027-06-01,330875.6266003095,297254.87740091316,368299.02081132727,269926.3791202995,405587.18505002256,242347.69902943357,451742.18990563246
2027-07-01,334461.776134383,299782.8594865073,373152.35396238836,271656.1805860407,411787.72172104364,243334.34842028684,459715.9440135987
2027-08-01,339535.0402906868,303622.3813053032,379695.4726775432,274559.5352778341,419887.2330860385,245359.7683412367,469857.15859034326
2027-09-01,335442.37583105837,299302.29365397024,375946.29205639707,270116.6831870456,416566.5969816017,240854.96432221247,467175.70393382123
2027-10-01,350547.38420926774,312094.2555568514,393738.32227929425,281105.4986628172,437143.59612494556,250100.70531573467,491335.9537344294
2027-11-01,334096.5892813686,296803.3929556143,376075.65687814046,266811.40833740425,418349.9186372513,236865.74911220995,471239.6426575196
2027-12-01,328909.3555205881,291583.76069064945,371012.99432015244,261625.51526039868,413496.99413413304,231773.06488701777,466755.54901819024
2028-01-01,326239.89087713446,288614.4552724881,368770.39405056497,258475.46962077232,411770.0861736676,228502.4390706925,465782.6272331267
2028-02-01,303641.9191769198,268077.99419518124,343923.8470812923,239645.330757128,384728.6103599611,211423.75093901635,436083.5273802188
2028-03-01,347137.12423910137,305872.7867339411,393968.30398583994,272944.86366548244,441496.4304757228,240322.85198491978,501426.2357062695
