IMPTOTUS,IMPTOTUS_DIFF,import_growth_rate,real_elasticities
41341941966.0,-1009920516.0,-0.024428473070533748,-0.09771389228213499
44365450995.0,3023509029.0,0.06815007987500793,0.2726003195000317
46732170756.0,2366719761.0,0.05064433606898378,0.5064433606898378
42777730358.0,-3954440398.0,-0.0924415663221475,-0.9244156632214751
46285835901.0,3508105543.0,0.07579220456347441,0.7579220456347441
40326295146.0,-5959540755.0,-0.14778299701035472,-1.477829970103547
36742515929.0,-3583779217.0,-0.0975376651921489,-0.975376651921489
22764274022.0,-13978241907.0,-0.6140429470094699,-6.140429470094699
31929538179.0,9165264157.0,0.28704656188945377,2.8704656188945377
31489913011.0,-439625168.0,-0.013960825101245307,-0.13960825101245306
37819616972.0,6329703961.0,0.16736562841676153,0.6694625136670461
39299792403.0,1480175431.0,0.037663695925452496,0.15065478370180999
38991760777.0,-308031626.0,-0.007899915773531777,-0.03159966309412711
37420918682.0,-1570842095.0,-0.041977646469582734,-0.16791058587833094
36585475229.0,-835443453.0,-0.022835386113497134,-0.15223590742331425
35929635835.0,-655839394.0,-0.018253438387514344,-0.12168958925009563
35726010205.0,-203625630.0,-0.005699646527322039,-0.03799764351548027
34623197394.0,-1102812811.0,-0.031851847720774366,-0.21234565147182913
